"","st","countyid","county_name","fcc_broadband","usage"
"1861","NY","6065","Oneida County","0.971","0.57"
"1862","NY","6067","Onondaga County","0.999","0.708"
"1863","NY","6069","Ontario County","0.9945","0.622"
"1864","NY","6071","Orange County","0.9878","0.785"
"1865","NY","6073","Orleans County","0.9745","0.56"
"1866","NY","6075","Oswego County","0.995","0.584"
"1867","NY","6077","Otsego County","0.9168","0.52"
"1868","NY","6079","Putnam County","0.9894","0.827"
"1869","NY","6081","Queens County","0.9996","0.689"
"1870","NY","6083","Rensselaer County","0.9997","0.707"
"1871","NY","6085","Richmond County","1","0.713"
"1872","NY","6087","Rockland County","0.9872","0.769"
"1873","NY","6089","St. Lawrence County","0.9537","0.513"
"1874","NY","6091","Saratoga County","0.9991","0.592"
"1875","NY","6093","Schenectady County","0.9998","0.719"
"1876","NY","6095","Schoharie County","0.9909","0.4"
"1877","NY","6097","Schuyler County","0.9738","0.506"
"1878","NY","6099","Seneca County","0.9956","0.387"
"1879","NY","6101","Steuben County","0.8998","0.492"
"1880","NY","6103","Suffolk County","0.9652","0.854"
"1881","NY","6105","Sullivan County","0.9947","0.515"
"1882","NY","6107","Tioga County","0.9636","0.364"
"1883","NY","6109","Tompkins County","0.986","0.554"
"1884","NY","6111","Ulster County","0.9953","0.696"
"1885","NY","6113","Warren County","0.9621","0.803"
"1886","NY","6115","Washington County","0.9766","0.282"
"1887","NY","6117","Wayne County","0.9636","0.565"
"1888","NY","6119","Westchester County","0.9872","0.758"
"1889","NY","6121","Wyoming County","0.8541","0.354"
"1890","NY","6123","Yates County","0.9327","0.504"
"1891","NC","7001","Alamance County","0.9882","0.608"
"1892","NC","7003","Alexander County","0.9888","0.352"
"1893","NC","7005","Alleghany County","0.9981","0.495"
"1894","NC","7007","Anson County","0.8944","0.2"
"1895","NC","7009","Ashe County","0.996","0.504"
"1896","NC","7011","Avery County","0.9814","0.328"
"1897","NC","7013","Beaufort County","0.8636","0.335"
"1898","NC","7015","Bertie County","0.7442","0.13"
"1899","NC","7017","Bladen County","0.7188","0.279"
"1900","NC","7019","Brunswick County","0.9778","0.755"
"1901","NC","7021","Buncombe County","0.9919","0.729"
"1902","NC","7023","Burke County","0.9883","0.484"
"1903","NC","7025","Cabarrus County","0.9953","0.801"
"1904","NC","7027","Caldwell County","0.995","0.672"
"1905","NC","7029","Camden County","0.9345","0.331"
"1906","NC","7031","Carteret County","0.9981","0.549"
"1907","NC","7033","Caswell County","0.5726","0.111"
"1908","NC","7035","Catawba County","0.9954","0.66"
"1909","NC","7037","Chatham County","0.8354","0.352"
"1910","NC","7039","Cherokee County","0.8362","0.265"
"1911","NC","7041","Chowan County","0.9706","0.332"
"1912","NC","7043","Clay County","0.8184","0.313"
"1913","NC","7045","Cleveland County","0.9683","0.606"
"1914","NC","7047","Columbus County","0.8407","0.277"
"1915","NC","7049","Craven County","0.9016","0.662"
"1916","NC","7051","Cumberland County","0.9951","0.644"
"1917","NC","7053","Currituck County","0.9733","0.456"
"1918","NC","7055","Dare County","0.9924","0.706"
"1919","NC","7057","Davidson County","0.9963","0.668"
"1920","NC","7059","Davie County","0.9956","0.792"
"1921","NC","7061","Duplin County","0.6969","0.182"
"1922","NC","7063","Durham County","0.9935","0.653"
"1923","NC","7065","Edgecombe County","0.8455","0.348"
"1924","NC","7067","Forsyth County","0.9998","0.659"
"1925","NC","7069","Franklin County","0.8665","0.363"
"1926","NC","7071","Gaston County","0.9983","0.732"
"1927","NC","7073","Gates County","0.5861","0.047"
"1928","NC","7075","Graham County","0.6612","0.094"
"1929","NC","7077","Granville County","0.8693","0.393"
"1930","NC","7079","Greene County","0.2641","0.127"
"1931","NC","7081","Guilford County","0.9982","0.651"
"1932","NC","7083","Halifax County","0.8264","0.361"
"1933","NC","7085","Harnett County","0.9519","0.467"
"1934","NC","7087","Haywood County","0.8348","0.483"
"1935","NC","7089","Henderson County","0.9263","0.459"
"1936","NC","7091","Hertford County","0.8264","0.281"
"1937","NC","7093","Hoke County","0.8957","0.624"
"1938","NC","7095","Hyde County","0.1205","0.069"
"1939","NC","7097","Iredell County","0.9833","0.697"
"1940","NC","7099","Jackson County","0.6056","0.258"
"1941","NC","7101","Johnston County","0.9461","0.671"
"1942","NC","7103","Jones County","0.5078","0.115"
"1943","NC","7105","Lee County","0.9829","0.69"
"1944","NC","7107","Lenoir County","0.8244","0.329"
"1945","NC","7109","Lincoln County","0.9872","0.773"
"1946","NC","7111","McDowell County","0.8309","0.418"
"1947","NC","7113","Macon County","0.6938","0.307"
"1948","NC","7115","Madison County","0.7294","0.272"
"1949","NC","7117","Martin County","0.6887","0.216"
"1950","NC","7119","Mecklenburg County","1","0.791"
"1951","NC","7121","Mitchell County","0.8991","0.317"
"1952","NC","7123","Montgomery County","0.6692","0.104"
"1953","NC","7125","Moore County","0.905","0.562"
"1954","NC","7127","Nash County","0.8852","0.398"
"1955","NC","7129","New Hanover County","0.9984","0.794"
"1956","NC","7131","Northampton County","0.8082","0.064"
"1957","NC","7133","Onslow County","0.9714","0.676"
"1958","NC","7135","Orange County","0.9404","0.552"
"1959","NC","7137","Pamlico County","0.8598","0.432"
